id,name,genus,type_1,type_2,color,generation,pokedex_entry
1,bulbasaur,Seed Pokémon,grass,poison,green,generation-i,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
2,ivysaur,Seed Pokémon,grass,poison,green,generation-i,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
3,venusaur,Seed Pokémon,grass,poison,green,generation-i,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
4,charmander,Lizard Pokémon,fire,,red,generation-i,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
5,charmeleon,Flame Pokémon,fire,,red,generation-i,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
6,charizard,Flame Pokémon,fire,flying,red,generation-i,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
7,squirtle,Tiny Turtle Pokémon,water,,blue,generation-i,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
8,wartortle,Turtle Pokémon,water,,blue,generation-i,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
9,blastoise,Shellfish Pokémon,water,,blue,generation-i,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.
10,caterpie,Worm Pokémon,bug,,green,generation-i,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
11,metapod,Cocoon Pokémon,bug,,green,generation-i,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
12,butterfree,Butterfly Pokémon,bug,flying,white,generation-i,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
13,weedle,Hairy Bug Pokémon,bug,poison,brown,generation-i,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
14,kakuna,Cocoon Pokémon,bug,poison,yellow,generation-i,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators."
15,beedrill,Poison Bee Pokémon,bug,poison,yellow,generation-i,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.
16,pidgey,Tiny Bird Pokémon,normal,flying,brown,generation-i,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
17,pidgeotto,Bird Pokémon,normal,flying,brown,generation-i,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder."
18,pidgeot,Bird Pokémon,normal,flying,brown,generation-i,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
19,rattata,Mouse Pokémon,normal,,purple,generation-i,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
20,raticate,Mouse Pokémon,normal,,brown,generation-i,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.
21,spearow,Tiny Bird Pokémon,normal,flying,brown,generation-i,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.
22,fearow,Beak Pokémon,normal,flying,brown,generation-i,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
23,ekans,Snake Pokémon,poison,,purple,generation-i,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole."
24,arbok,Cobra Pokémon,poison,,purple,generation-i,It is rumored that the ferocious warning markings on its belly differ from area to area.
25,pikachu,Mouse Pokémon,electric,,yellow,generation-i,"When several of these POKéMON gather, their electricity could build and cause lightning storms."
26,raichu,Mouse Pokémon,electric,,yellow,generation-i,Its long tail serves as a ground to protect itself from its own high voltage power.
27,sandshrew,Mouse Pokémon,ground,,yellow,generation-i,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
28,sandslash,Mouse Pokémon,ground,,yellow,generation-i,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.
29,nidoran-f,Poison Pin Pokémon,poison,,blue,generation-i,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns."
30,nidorina,Poison Pin Pokémon,poison,,blue,generation-i,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.
31,nidoqueen,Drill Pokémon,poison,ground,blue,generation-i,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
32,nidoran-m,Poison Pin Pokémon,poison,,purple,generation-i,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom."
33,nidorino,Poison Pin Pokémon,poison,,purple,generation-i,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.
34,nidoking,Drill Pokémon,poison,ground,purple,generation-i,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones."
35,clefairy,Fairy Pokémon,fairy,,pink,generation-i,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
36,clefable,Fairy Pokémon,fairy,,pink,generation-i,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.
37,vulpix,Fox Pokémon,fire,,brown,generation-i,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older."
38,ninetales,Fox Pokémon,fire,,yellow,generation-i,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.
39,jigglypuff,Balloon Pokémon,normal,fairy,pink,generation-i,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep."
40,wigglytuff,Balloon Pokémon,normal,fairy,pink,generation-i,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
41,zubat,Bat Pokémon,poison,flying,purple,generation-i,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.
42,golbat,Bat Pokémon,poison,flying,purple,generation-i,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly."
43,oddish,Weed Pokémon,grass,poison,blue,generation-i,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
44,gloom,Weed Pokémon,grass,poison,blue,generation-i,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.
45,vileplume,Flower Pokémon,grass,poison,red,generation-i,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
46,paras,Mushroom Pokémon,bug,grass,red,generation-i,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.
47,parasect,Mushroom Pokémon,bug,grass,red,generation-i,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.
48,venonat,Insect Pokémon,bug,poison,purple,generation-i,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.
49,venomoth,Poison Moth Pokémon,bug,poison,purple,generation-i,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.
50,diglett,Mole Pokémon,ground,,brown,generation-i,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.
51,dugtrio,Mole Pokémon,ground,,brown,generation-i,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.
52,meowth,Scratch Cat Pokémon,normal,,yellow,generation-i,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.
53,persian,Classy Cat Pokémon,normal,,yellow,generation-i,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
54,psyduck,Duck Pokémon,water,,yellow,generation-i,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers."
55,golduck,Duck Pokémon,water,,blue,generation-i,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa."
56,mankey,Pig Monkey Pokémon,fighting,,brown,generation-i,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.
57,primeape,Pig Monkey Pokémon,fighting,,brown,generation-i,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.
58,growlithe,Puppy Pokémon,fire,,brown,generation-i,Very protective of its territory. It will bark and bite to repel intruders from its space.
59,arcanine,Legendary Pokémon,fire,,brown,generation-i,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.
60,poliwag,Tadpole Pokémon,water,,blue,generation-i,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.
61,poliwhirl,Tadpole Pokémon,water,,blue,generation-i,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
62,poliwrath,Tadpole Pokémon,water,fighting,blue,generation-i,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.
63,abra,Psi Pokémon,psychic,,brown,generation-i,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety."
64,kadabra,Psi Pokémon,psychic,,brown,generation-i,It emits special alpha waves from its body that induce headaches just by being close by.
65,alakazam,Psi Pokémon,psychic,,brown,generation-i,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000."
66,machop,Superpower Pokémon,fighting,,gray,generation-i,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
67,machoke,Superpower Pokémon,fighting,,gray,generation-i,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions."
68,machamp,Superpower Pokémon,fighting,,gray,generation-i,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon."
69,bellsprout,Flower Pokémon,grass,poison,green,generation-i,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.
70,weepinbell,Flycatcher Pokémon,grass,poison,green,generation-i,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.
71,victreebel,Flycatcher Pokémon,grass,poison,green,generation-i,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
72,tentacool,Jellyfish Pokémon,water,poison,blue,generation-i,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.
73,tentacruel,Jellyfish Pokémon,water,poison,blue,generation-i,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey."
74,geodude,Rock Pokémon,rock,ground,brown,generation-i,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them."
75,graveler,Rock Pokémon,rock,ground,brown,generation-i,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.
76,golem,Megaton Pokémon,rock,ground,brown,generation-i,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.
77,ponyta,Fire Horse Pokémon,fire,,yellow,generation-i,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.
78,rapidash,Fire Horse Pokémon,fire,,yellow,generation-i,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it."
79,slowpoke,Dopey Pokémon,water,psychic,pink,generation-i,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.
80,slowbro,Hermit Crab Pokémon,water,psychic,pink,generation-i,The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.
81,magnemite,Magnet Pokémon,electric,steel,gray,generation-i,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.
82,magneton,Magnet Pokémon,electric,steel,gray,generation-i,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.
83,farfetchd,Wild Duck Pokémon,normal,flying,brown,generation-i,The sprig of green onions it holds is its weapon. It is used much like a metal sword.
84,doduo,Twin Bird Pokémon,normal,flying,brown,generation-i,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
85,dodrio,Triple Bird Pokémon,normal,flying,brown,generation-i,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
86,seel,Sea Lion Pokémon,water,,white,generation-i,The protruding horn on its head is very hard. It is used for bashing through thick ice.
87,dewgong,Sea Lion Pokémon,water,ice,white,generation-i,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.
88,grimer,Sludge Pokémon,poison,,purple,generation-i,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.
89,muk,Sludge Pokémon,poison,,purple,generation-i,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison."
90,shellder,Bivalve Pokémon,water,,purple,generation-i,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.
91,cloyster,Bivalve Pokémon,water,ice,purple,generation-i,"When attacked, it launches its horns in quick volleys. Its innards have never been seen."
92,gastly,Gas Pokémon,ghost,poison,purple,generation-i,"Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice."
93,haunter,Gas Pokémon,ghost,poison,purple,generation-i,"Because of its ability to slip through block walls, it is said to be from an­ other dimension."
94,gengar,Shadow Pokémon,ghost,poison,purple,generation-i,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright."
95,onix,Rock Snake Pokémon,rock,ground,gray,generation-i,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black."
96,drowzee,Hypnosis Pokémon,psychic,,yellow,generation-i,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.
97,hypno,Hypnosis Pokémon,psychic,,yellow,generation-i,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION."
98,krabby,River Crab Pokémon,water,,red,generation-i,"Its pincers are not only powerful weapons, they are used for balance when walking sideways."
99,kingler,Pincer Pokémon,water,,red,generation-i,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use."
100,voltorb,Ball Pokémon,electric,,red,generation-i,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people."
101,electrode,Ball Pokémon,electric,,red,generation-i,It stores electric energy under very high pressure. It often explodes with little or no provocation.
102,exeggcute,Egg Pokémon,grass,psychic,pink,generation-i,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
103,exeggutor,Coconut Pokémon,grass,psychic,yellow,generation-i,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE."
104,cubone,Lonely Pokémon,ground,,brown,generation-i,"Because it never removes its skull helmet, no one has ever seen this POKéMON's real face."
105,marowak,Bone Keeper Pokémon,ground,,brown,generation-i,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.
106,hitmonlee,Kicking Pokémon,fighting,,brown,generation-i,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides."
107,hitmonchan,Punching Pokémon,fighting,,brown,generation-i,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see."
108,lickitung,Licking Pokémon,normal,,pink,generation-i,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.
109,koffing,Poison Gas Pokémon,poison,,purple,generation-i,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
110,weezing,Poison Gas Pokémon,poison,,purple,generation-i,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years."
111,rhyhorn,Spikes Pokémon,ground,rock,gray,generation-i,Its massive bones are 1000 times harder than human bones. It can easily knock a trailer flying.
112,rhydon,Drill Pokémon,ground,rock,gray,generation-i,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees."
113,chansey,Egg Pokémon,normal,,pink,generation-i,A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.
