"pokemon_type","silk","honey","cloak","swarm","flower","bubble","host","flap","bark","electricity","shock","ultra","fear","sand","violent","clad","follow","lead","list","startle","temperament","bone","feather","burn","hair","moon","flame","apple","tusk","expedition","journal","freeze","hundred","mention","mystery","report","type","inhabit","lightning","metal","spark","charge","storing","bolt","elec­","tricity","mane","sac","touch","magazine","scent","hammer","smell","emit","attacker","cream","guardian","hidden","lull","overwhelm","particle","sighting","source","timid","aura","disposition","rarely","punch","muscle","throw","book","dangerous","friend","guard","king","save","similarity","wrestler","toxic","paranormal","fireball","set","internal","fiery","hot","coal","magma","twig","volcanic","ember","gas","cool","stomach","spirit","intense","love","friendly","star­","soul","hollow","sword","dog","mound","trap","sunlight","bud","quill","boulder","crush","pound","snout","snow","cold","breath","frigid","blizzard","impressive","spring","hunt","completely","ears","code","brain","chain","female","vile","unknown","quick","future","intelligence","star","salt","fossil","ago","restore","stone","home","mine","treasure","iron","magnetism","wormhole","faster","threaten","unit","depth","balloon","tear","flotation","tuft"
"bug",0.034409187594002,0.020925948355583,0.0206455125564012,0.0206455125564012,0.0179056832949556,0.0156944612666873,0.0156944612666873,0.0127982819230575,0.0104629741777915,0.00716227331798226,0.00716227331798226,0.00609968497839078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dark",0,0,0,0,0,0,0,0,0,0,0,0,0.0481728626316027,0.0274653072167027,0.0274653072167027,0.0240864313158014,0.0240864313158014,0.0240864313158014,0.0240864313158014,0.0240864313158014,0.0240864313158014,0.0223969933653507,0.0223969933653507,0.0188009674597034,0.0183102048111352,0.0183102048111352,0.0149313289102338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dragon",0,0,0,0,0,0,0,0,0,0.0108207006962322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108207006962322,0,0,0,0.0474221131799184,0.0322258897343175,0.0311910621355701,0.0311910621355701,0.0237110565899592,0.0207940414237134,0.0207940414237134,0.0207940414237134,0.0207940414237134,0.0207940414237134,0.0158073710599728,0.012890355893727,0.012890355893727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"electric",0,0,0,0,0,0,0,0,0,0.139664329700654,0.0107434099769734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639914096152877,0,0.0412910251128023,0.0309682688346018,0.0309682688346018,0.0206455125564012,0.0206455125564012,0.0206455125564012,0.0191974228845863,0.0156944612666873,0.0156944612666873,0.00914952746758617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fairy",0,0,0,0,0.0795106993890541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193588068487773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236796405624853,0,0,0,0,0,0,0,0,0,0,0.0394660676041422,0.0387176136975545,0.0381987456990683,0.0315728540833137,0.0290382102731659,0.0254658304660455,0.0254658304660455,0.0254658304660455,0.0254658304660455,0.0254658304660455,0.0254658304660455,0.0254658304660455,0.0254658304660455,0.0254658304660455,0.0193588068487773,0.0193588068487773,0.0157864270416569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fighting",0,0,0,0,0,0,0,0,0,0,0,0.00918232147284634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128441539012764,0,0,0,0,0,0,0,0,0,0,0.00918232147284634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157507138160302,0,0,0.0551274983561059,0.041439021618583,0.0315014276320605,0.0207195108092915,0.0207195108092915,0.0207195108092915,0.0207195108092915,0.0207195108092915,0.0207195108092915,0.0207195108092915,0.0207195108092915,0.0157507138160302,0.0128441539012764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fire",0,0,0,0,0,0,0,0,0.0126641186013615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693522718974651,0,0,0.0671264354465842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103271439148591,0,0.0126641186013615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126641186013615,0,0,0,0,0,0,0,0,0,0,0,0,0.0416480080388496,0.0416480080388496,0.0333184064310797,0.0316602965034037,0.0316602965034037,0.025328237202723,0.025328237202723,0.0249888048233098,0.0249888048233098,0.0189961779020422,0.0189961779020422,0.0166592032155399,0.0166592032155399,0.0154907158722887,0.0126641186013615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"flying",0,0.0191897342998796,0,0,0.00985203535006293,0,0,0.0273849700537039,0,0.00656802356670862,0.00656802356670862,0,0,0,0,0,0,0,0,0,0,0.0156485543164022,0.0195606928955028,0,0,0,0.00782427715820111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117364157373017,0,0,0,0,0,0,0,0,0,0,0,0,0.0117364157373017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00959486714993982,0,0,0,0,0,0.0287846014498195,0.012621710733171,0.012621710733171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ghost",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326973347125277,0,0.0191063006724889,0,0,0,0,0,0,0,0,0,0,0,0.0286594510087333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191063006724889,0,0,0,0,0,0,0,0,0,0.0856928441804722,0,0,0,0,0.0502673349199333,0.0382126013449777,0.0286594510087333,0.0251336674599666,0.0191063006724889,0.0191063006724889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"grass",0,0,0,0,0.0238742443932742,0,0.0095117947070832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190235894141664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103420459984303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0095117947070832,0,0,0,0,0,0,0,0.0095117947070832,0.0208540530872739,0.0166832424698191,0.0125124318523643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
