"pokemon_type","silk","honey","cloak","electricity","ultra","fear","sand","apple","tusk","expedition","journal","freeze","inhabit","spark","charge","storing","magazine","hammer","smell","guardian","hidden","overwhelm","source","timid","muscle","dangerous","toxic","paranormal","fireball","set","internal","coal","twig","gas","spirit","soul","hollow","sword","snow","cold","breath","frigid","impressive","ears","chain","salt","restore","iron","magnetism","wormhole"
"bug",0.034409187594002,0.020925948355583,0.0206455125564012,0.00716227331798226,0.00609968497839078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dark",0,0,0,0,0,0.0481728626316027,0.0274653072167027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dragon",0,0,0,0.0108207006962322,0,0,0,0.0474221131799184,0.0322258897343175,0.0311910621355701,0.0311910621355701,0.0237110565899592,0.0158073710599728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"electric",0,0,0,0.139664329700654,0,0,0,0,0,0,0,0,0,0.0412910251128023,0.0309682688346018,0.0309682688346018,0.00914952746758617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fairy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387176136975545,0.0381987456990683,0.0254658304660455,0.0254658304660455,0.0254658304660455,0.0254658304660455,0.0254658304660455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fighting",0,0,0,0,0.00918232147284634,0,0,0,0,0,0,0,0,0,0,0,0.00918232147284634,0,0,0,0,0,0,0,0.041439021618583,0.0207195108092915,0.0157507138160302,0.0128441539012764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416480080388496,0.0416480080388496,0.0333184064310797,0.025328237202723,0.0249888048233098,0.0189961779020422,0.0154907158722887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"flying",0,0.0191897342998796,0,0.00656802356670862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ghost",0,0,0,0,0,0,0,0,0,0,0,0,0.0286594510087333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0856928441804722,0.0502673349199333,0.0382126013449777,0.0286594510087333,0,0,0,0,0,0,0,0,0,0,0,0
"grass",0,0,0,0,0,0,0,0.0190235894141664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ground",0,0,0,0,0,0,0.0777153387482264,0,0.0172838534009137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115225689339425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ice",0,0,0,0,0,0,0,0,0.0180985804972531,0,0,0.0887767505994432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102184860127642,0.0776796567745128,0.0437935114832752,0.0437935114832752,0.0291956743221835,0,0,0,0,0,0,0
"normal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212527335139424,0,0,0,0,0,0
"poison",0,0,0,0,0.00731962197406894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502222760533993,0,0,0,0,0,0,0.0502222760533993,0,0,0,0,0,0,0,0,0,0,0.0330328200902419,0,0,0,0,0
"psychic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00895757933889555,0,0,0,0,0,0,0,0,0,0,0.00835319099873219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rock",0,0,0,0,0.00862581714115868,0,0,0,0,0,0,0,0,0,0,0,0.00862581714115868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295922501998144,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389275657629113,0.0291956743221835,0.0147961250999072,0,0
"steel",0,0,0,0,0.0209989154993781,0,0,0,0,0,0,0,0,0,0,0,0.0104994577496891,0.0360200750382987,0,0,0,0,0,0,0,0,0,0.0146865530264595,0,0,0,0,0,0,0,0,0.0180100375191493,0.0180100375191493,0,0,0,0,0,0,0,0,0,0.0450250937978733,0.0355373576790512,0.0355373576790512
"water",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145127118714413,0,0,0,0,0,0,0,0,0,0
